publication_id,publication_title,publication_doi,new_name,new_confidence_score_mention,new_confidence_score_use,new_description,new_source,new_domain
pub.1133656474,"Dietary Quality Predicts Short-Term Change in Mobility Limitations in Older U.S. Adults",10.1093/geroni/igaa057.773,"Health Care and Nutrition Study",9,9,"A study providing health care and nutrition information, likely a sub‑study linked to the HRS cohort.","","Health/Nutrition"
pub.1133743424,"Food Insecurity Among Health Sciences Graduate Students at a Large Northeastern University",10.1016/j.jneb.2020.11.003,"National Health and Nutrition Examination Survey (NHANES)",9,1,"A large, ongoing US population health survey that collects detailed health, nutrition, and dietary data.","Centers for Disease Control and Prevention (CDC)","Public Health / Nutrition"
pub.1133743424,"Food Insecurity Among Health Sciences Graduate Students at a Large Northeastern University",10.1016/j.jneb.2020.11.003,"Household Food Security Survey Module (HFSSM) – 6‑item short form",9,1,"A validated USDA questionnaire used to classify households as food secure or insecure; the 6‑item short form is a subset of the full HFSSM.","US Department of Agriculture","Nutrition / Food Security"
pub.1133879383,"Food Insecurity Among College Students: An Analysis of US State Legislation Through 2020",10.1016/j.jneb.2020.11.010,"US Bureau of Labor Statistics Labor Force Statistics from the Current Population Survey 2019",9,1,"Annual labor market data on employment, unemployment, and labor force characteristics for the U.S. population.","U.S. Bureau of Labor Statistics (BLS)","Labor economics / Employment statistics"
pub.1133879383,"Food Insecurity Among College Students: An Analysis of US State Legislation Through 2020",10.1016/j.jneb.2020.11.010,"National Center for Education Statistics (NCES) 2015 Profile of Undergraduate Students",9,1,"Comprehensive survey data on undergraduate student characteristics and experiences in the United States.","National Center for Education Statistics (NCES)","Education / Higher education demographics"
pub.1133879383,"Food Insecurity Among College Students: An Analysis of US State Legislation Through 2020",10.1016/j.jneb.2020.11.010,"US Department of Agriculture SNAP Policy Database",9,1,"An interactive database providing information on SNAP program policies and eligibility criteria by state.","US Department of Agriculture, Economic Research Service","Nutrition assistance / Public policy"
pub.1133879383,"Food Insecurity Among College Students: An Analysis of US State Legislation Through 2020",10.1016/j.jneb.2020.11.010,"US Department of Agriculture Food and Nutrition Service Measuring the effect of SNAP participation on food security 2020-11-04",8,1,"Study/report measuring how SNAP enrollment influences household food security outcomes.","US Department of Agriculture, Food and Nutrition Service","Nutrition assistance / Food security research"
pub.1133879383,"Food Insecurity Among College Students: An Analysis of US State Legislation Through 2020",10.1016/j.jneb.2020.11.010,"College SNAP Project (Swipe Out Hunger, Congressional Hunger Center)",8,1,"A collaborative initiative offering resources and guidance on SNAP eligibility for college students across states.","Swipe Out Hunger, Congressional Hunger Center","Nutrition assistance / Student outreach"
pub.1134009679,"Perceptions, Satisfaction, and Experience of Low-Socioeconomic, Rural Patients Who Participated in a Pilot Farm to Clinic (F2C) Program Utilizing Local, Donated Produce",10.1080/19320248.2020.1860848,"National Health and Nutrition Examination Survey (NHANES)",9,2,"A continuous, cross‑sectional survey conducted by the U.S. CDC that combines interviews and physical examinations to assess health and nutritional status of the U.S. civilian non‑institutionalized population.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / nutrition epidemiology"
pub.1134009679,"Perceptions, Satisfaction, and Experience of Low-Socioeconomic, Rural Patients Who Participated in a Pilot Farm to Clinic (F2C) Program Utilizing Local, Donated Produce",10.1080/19320248.2020.1860848,"American Community Survey (ACS)",9,2,"An ongoing survey by the U.S. Census Bureau that provides detailed demographic, social, economic, and housing data for all U.S. counties and census tracts.","U.S. Census Bureau","Demography / socioeconomic research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Current Population Survey Food Security Supplement (CPS-FSS)",9,1,"A supplement to the Current Population Survey that includes the USDA 18‑item Household Food Security Survey Module.","U.S. Census Bureau","Food security measurement"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Household Food Security Survey Module (HFSSM)",9,1,"The USDA 18‑item questionnaire assessing household food security status.","U.S. Department of Agriculture Economic Research Service","Food security measurement"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"National Health and Nutrition Examination Survey (NHANES)",8,1,"A continuous, cross‑sectional survey that combines interviews and physical examinations to assess health and nutrition of the U.S. population.","U.S. Centers for Disease Control and Prevention (CDC)","Health and nutrition surveillance"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Survey of Income and Program Participation (SIPP)",9,1,"A longitudinal panel survey that collects data on income, program participation, and demographic characteristics of U.S. households.","U.S. Census Bureau","Economic and social research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Behavioral Risk Factor Surveillance System (BRFSS)",9,1,"A state‑based telephone survey that collects data on health‑related risk behaviors, chronic health conditions, and use of preventive services.","U.S. CDC/HRSA","Public health surveillance"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"American Community Survey (ACS)",9,1,"An ongoing survey that provides detailed demographic, social, economic, and housing data for the U.S. population.","U.S. Census Bureau","Demographic and socioeconomic research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Health and Retirement Study (HRS)",9,1,"A longitudinal panel study of health, retirement, and economic status of older Americans.","University of Michigan","Aging, health economics"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Veterans Aging Cohort Study (VACS)",9,1,"A longitudinal cohort of U.S. veterans receiving VA health care, focusing on HIV and related health outcomes.","Veterans Affairs","Veteran health research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Women Veterans Health Utilization and Experience Survey (WV-HUES)",9,1,"A survey of women veterans that assesses health‑care utilization, experiences, and related outcomes.","U.S. Department of Veterans Affairs","Veteran health services research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Northstar Survey",8,1,"A survey of OEF/OIF/OND veterans identified through VA rosters and supplemented with VA administrative data.","U.S. Department of Veterans Affairs","Veteran health and transition research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Weight and Veterans' Environments Study (WAVES)",8,1,"A retrospective longitudinal study linking VA health‑care data with environmental data on food outlets.","U.S. Department of Veterans Affairs","Veteran health, built environment research"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"California Health Interview Survey (CHIS)",8,1,"A state‑level health interview survey that collects data on health, health care access, and health behaviors for California residents.","University of California, Los Angeles (UCLA) Center for Health Policy Research","Public health, nutrition"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Health Care and Nutrition Survey (HCNS)",8,1,"A supplemental survey component of the Health and Retirement Study that collects nutrition‑related information.","University of Michigan Institute for Social Research","Nutrition, health status"
pub.1134039215,"Food Insecurity in US Military Veterans",10.1177/0379572120963952,"Household Food Insecurity Access Scale (HFIAS)",8,1,"A nine‑item scale developed by USAID to assess food insecurity access at the household level.","USAID Food and Nutrition Technical Assistance Project","Food security measurement"
pub.1134187588,"Food insecurity in baccalaureate nursing students: A cross-sectional survey",10.1016/j.profnurs.2020.12.015,"Household Food Security Survey Module (HFSSM)",9,9,"A nationally‑standardized questionnaire developed by the USDA to assess household food security status; the short‑form includes six items.","U.S. Department of Agriculture, Food and Nutrition Service","Public health / Nutrition security"
pub.1134290934,"Changing from a highly food secure household to a marginal or food insecure household is associated with decreased weight and body mass index z‐scores among Latino children from CHAMACOS",10.1111/ijpo.12762,"Center for the Health Assessment of Mothers and Children of Salinas (CHAMACOS)",10,10,"A longitudinal birth cohort study of Latino mothers and their children in Salinas, California, collecting health, environmental, and socioeconomic data.","CHAMACOS cohort","Public health / Environmental health"
pub.1134290934,"Changing from a highly food secure household to a marginal or food insecure household is associated with decreased weight and body mass index z‐scores among Latino children from CHAMACOS",10.1111/ijpo.12762,"National Health and Nutrition Examination Survey (NHANES)",9,2,"A nationally representative survey of health and nutrition status of the U.S. population.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / Nutrition"
pub.1134290934,"Changing from a highly food secure household to a marginal or food insecure household is associated with decreased weight and body mass index z‐scores among Latino children from CHAMACOS",10.1111/ijpo.12762,"Early Childhood Longitudinal Study – Kindergarten Cohort (ECLS‑K)",9,2,"A longitudinal study following a cohort of children who were in kindergarten in 1998, collecting educational and health data.","U.S. Department of Education","Education / Public health"
pub.1134290934,"Changing from a highly food secure household to a marginal or food insecure household is associated with decreased weight and body mass index z‐scores among Latino children from CHAMACOS",10.1111/ijpo.12762,"National Longitudinal Survey of Youth 1997 (NLSY97)",9,2,"A longitudinal survey tracking a cohort of individuals who were 12‑16 years old in 1997, collecting health, employment, and education data.","U.S. Bureau of Labor Statistics","Sociology / Public health"
pub.1134290934,"Changing from a highly food secure household to a marginal or food insecure household is associated with decreased weight and body mass index z‐scores among Latino children from CHAMACOS",10.1111/ijpo.12762,"Panel Study of Income Dynamics – Child Development Supplement (PSID‑CDS)",9,2,"A supplement to the PSID that collects detailed data on child development, health, and family characteristics.","Institute for Social Research, University of Michigan","Economics / Public health"
pub.1134297037,"Does Participation in Food Benefit Programs Reduce the Risk for Depressive Symptoms?",10.1177/1078390320983904,"National Health and Nutrition Examination Survey (NHANES)",9.5,9,"A series of cross‑sectional surveys conducted by the CDC/NCHS that assess the health and nutritional status of the U.S. population, providing publicly available data files.","CDC/NCHS (Centers for Disease Control and Prevention / National Center for Health Statistics)","Public health / Nutrition / Epidemiology"
pub.1134297037,"Does Participation in Food Benefit Programs Reduce the Risk for Depressive Symptoms?",10.1177/1078390320983904,"Food Acquisition and Purchase Survey (FoodAPS)",8.5,1.5,"A USDA survey that collects detailed information on household food acquisition and purchase behaviors.","U.S. Department of Agriculture (USDA)","Nutrition / Food economics"
pub.1134343782,"Food Insecurity Among Older Adults: 10‐Year National Trends and Associations with Diet Quality",10.1111/jgs.16971,"National Health and Nutrition Examination Survey (NHANES)",10,10,"A series of ongoing, nationally representative, multistage surveys of the civilian, non‑institutionalized U.S. population that includes interviews, physical examinations, and dietary recalls.","U.S. Department of Health and Human Services, National Center for Health Statistics","Public health / Nutrition epidemiology"
pub.1134343782,"Food Insecurity Among Older Adults: 10‐Year National Trends and Associations with Diet Quality",10.1111/jgs.16971,"Household Food Security Survey Module (HFSSM)",9,7,"An 18‑item questionnaire developed by the U.S. Department of Agriculture to assess household food security status.","U.S. Department of Agriculture (USDA)","Nutrition security / Survey methodology"
pub.1134343782,"Food Insecurity Among Older Adults: 10‐Year National Trends and Associations with Diet Quality",10.1111/jgs.16971,"USDA Food Patterns Equivalents Database (FPED)",9,9,"A database that translates foods and beverages reported in dietary surveys into standardized food‑group equivalents for use in nutrition research.","U.S. Department of Agriculture (USDA)","Nutrition epidemiology / Dietary assessment"
pub.1134389846,"Association between Food Insecurity and Health-Related Quality of Life: a Nationally Representative Survey",10.1007/s11606-020-06492-9,"NORC AmeriSpeak Panel",9,9,"A probability‑based online panel that provides nationally representative survey data.","NORC at the University of Chicago","Social / Health Survey"
pub.1134389846,"Association between Food Insecurity and Health-Related Quality of Life: a Nationally Representative Survey",10.1007/s11606-020-06492-9,"Household Food Security Survey Module",9,2,"A USDA questionnaire instrument used to assess household food security status.","U.S. Department of Agriculture (USDA)","Nutrition / Food Security"
pub.1134389846,"Association between Food Insecurity and Health-Related Quality of Life: a Nationally Representative Survey",10.1007/s11606-020-06492-9,"National Health and Nutrition Examination Survey",9,2,"A nationally representative health survey that combines interviews and physical examinations.","Centers for Disease Control and Prevention (CDC)","Health / Nutrition"
pub.1134463056,"Food Insufficiency and Mental Health in the U.S. During the COVID-19 Pandemic",10.1016/j.amepre.2020.12.004,"U.S. Census Household Pulse Survey (HPS)",9,9.5,"A weekly, cross‑sectional survey administered by the U.S. Census Bureau to assess social and economic impacts of the COVID‑19 pandemic on U.S. adults.","U.S. Census Bureau","Public health / socioeconomic research"
pub.1134463056,"Food Insufficiency and Mental Health in the U.S. During the COVID-19 Pandemic",10.1016/j.amepre.2020.12.004,"Current Population Survey Food Security Supplement (CPS‑FSS)",8,2,"A supplement to the Current Population Survey that collects detailed information on household food security status in the United States.","U.S. Census Bureau / USDA Economic Research Service","Food security research"
pub.1134463056,"Food Insufficiency and Mental Health in the U.S. During the COVID-19 Pandemic",10.1016/j.amepre.2020.12.004,"U.S. Household Food Security Survey Module (HFSSM)",7.5,2,"A standardized questionnaire module used to assess household food security, developed by USDA Economic Research Service.","USDA Economic Research Service","Food security measurement"
pub.1134467835,"Food shopping, home food availability, and food insecurity among customers in small food stores: an exploratory study",10.1093/tbm/ibaa005,"Household Food Security Survey Module (Six-Item Short Form)",9,9,"A validated USDA questionnaire used to assess household food security; the six‑item short form provides a classification of food‑secure vs. food‑insecure households.","USDA Economic Research Service","Nutrition / Food Security"
pub.1134467835,"Food shopping, home food availability, and food insecurity among customers in small food stores: an exploratory study",10.1093/tbm/ibaa005,"Food Acquisition and Purchase Survey (FoodAPS)",9,1,"A nationally representative USDA survey that captures household food acquisition and purchase behaviors.","USDA Economic Research Service","Nutrition / Food Acquisition"
pub.1134467835,"Food shopping, home food availability, and food insecurity among customers in small food stores: an exploratory study",10.1093/tbm/ibaa005,"National Health and Nutrition Examination Survey (NHANES)",8,1,"A continuous, cross‑sectional survey that combines interviews and physical examinations to assess health and nutritional status of the U.S. population.","National Center for Health Statistics, CDC","Health / Nutrition"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Household Food Security Survey Module (HFSSM)",9,1,"A US Department of Agriculture (USDA) questionnaire used to assess household food‑security status.","USDA","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Household Food Insecurity Access Scale (HFIAS)",9,1,"An experience‑based scale measuring household food‑insecurity across four domains.","","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Food Insecurity Experience Scale (FIES)",9,1,"A globally comparable questionnaire assessing individual experience of food insecurity.","FAO / Gallup World Poll","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Household Water Insecurity Experiences (HWISE) Scale",9,1,"An experience‑based questionnaire for assessing household water insecurity across four domains.","","Water Security / Nutrition"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Latin American and Caribbean Household Food Security Measurement Scale (ELCSA)",9,1,"A standardized instrument for measuring household food insecurity in Latin America and the Caribbean.","","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"HWISE‑4 (short form of HWISE)",9,1,"A four‑item abbreviated version of the HWISE scale for rapid assessment.","","Water Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Brazilian Food Security Scale (EBIA)",9,1,"A nationally used questionnaire for assessing household food insecurity in Brazil.","","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Gallup World Poll",9,1,"A large‑scale, cross‑national survey platform used to field the FIES and increasingly the HWISE.","Gallup","Cross‑national Survey"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Household Hunger Scale (HHS)",9,1,"A three‑item scale derived from HFIAS focusing on severe food‑insecurity experiences.","","Nutrition / Food Security"
pub.1134597010,"Perspective: The Importance of Water Security for Ensuring Food Security, Good Nutrition, and Well-being",10.1093/advances/nmab003,"Demographic and Health Surveys (DHS)",9,1,"A series of nationally representative household surveys that collect data on health, nutrition, and related topics.","USAID / ICF International","Public Health / Nutrition"
pub.1134707575,"Viewpoint: Food insecurity among college students: A case for consistent and comparable measurement",10.1016/j.foodpol.2021.102031,"Current Population Survey Food Security Supplement (CPS-FSS)",9,2,"A nationally representative survey supplement that measures household food security in the United States","U.S. Census Bureau/USDA","Food security, public health"
pub.1134707575,"Viewpoint: Food insecurity among college students: A case for consistent and comparable measurement",10.1016/j.foodpol.2021.102031,"Household Food Security Survey Module (HFSSM)",9,2,"Standard questionnaire module used to assess household food security","USDA Economic Research Service","Food security measurement"
pub.1134707575,"Viewpoint: Food insecurity among college students: A case for consistent and comparable measurement",10.1016/j.foodpol.2021.102031,"National Postsecondary Student Aid Study (NPSAS)",8,2,"A longitudinal survey of U.S. postsecondary students that includes financial aid and related variables","U.S. Department of Education","Higher education, student finances"
pub.1134707575,"Viewpoint: Food insecurity among college students: A case for consistent and comparable measurement",10.1016/j.foodpol.2021.102031,"30-day food security scale for Current Population Survey Food Security Supplement Data",7,2,"A short-form scale measuring food security over the past 30 days based on CPS-FSS items","USDA Economic Research Service","Food security measurement"
pub.1134713665,"Toward Understanding Social Needs Among Primary Care Patients With Uncontrolled Diabetes",10.1177/2150132720985044,"National Health and Nutrition Examination Survey",9,1,"A nationally representative survey that combines interviews and physical examinations to assess health and nutrition status of the U.S. population.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / epidemiology"
pub.1134713665,"Toward Understanding Social Needs Among Primary Care Patients With Uncontrolled Diabetes",10.1177/2150132720985044,"American Community Survey",9,9,"An ongoing survey by the U.S. Census Bureau that provides detailed demographic, social, economic, and housing data at various geographic levels.","U.S. Census Bureau","Demography / socioeconomic research"
pub.1134713665,"Toward Understanding Social Needs Among Primary Care Patients With Uncontrolled Diabetes",10.1177/2150132720985044,"Epic Electronic Health Record Data Warehouse",9,9,"A proprietary clinical data repository that stores electronic health record information from the Epic EHR system.","Epic Systems Corporation (hospital system)","Clinical / health informatics"
pub.1134713665,"Toward Understanding Social Needs Among Primary Care Patients With Uncontrolled Diabetes",10.1177/2150132720985044,"National Health Interview Survey",9,1,"A continuous, nationwide household interview survey that collects information on health status, health care access, and health behaviors.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / health services research"
pub.1134713665,"Toward Understanding Social Needs Among Primary Care Patients With Uncontrolled Diabetes",10.1177/2150132720985044,"National Ambulatory Medical Care Survey",8,1,"A national survey that collects data on the utilization and provision of ambulatory care services in the United States.","National Center for Health Statistics (NCHS)","Health services research"
pub.1134757931,"Prevalence and Risk Factors for Food Insecurity Among Low-Income US Military Veterans",10.1177/0033354920974662,"National Health Interview Survey (NHIS)",9,9,"A nationally representative annual cross‑sectional survey of the US civilian noninstitutionalized population collecting health, demographic, and socioeconomic information.","U.S. Centers for Disease Control and Prevention (CDC)","Public health / epidemiology"
pub.1134757931,"Prevalence and Risk Factors for Food Insecurity Among Low-Income US Military Veterans",10.1177/0033354920974662,"Integrated Public Use Microdata Series Health Surveys (IPUMS Health Surveys)",8,7,"A curated repository that provides harmonized public‑use microdata files for several health surveys, including the National Health Interview Survey.","Minnesota Population Center","Public health / data infrastructure"
pub.1134787441,"Food Insecurity and Obesity in US Adolescents: A Population-Based Analysis",10.1089/chi.2020.0158,"National Health and Nutrition Examination Survey (NHANES)",10,10,"A series of cross‑sectional surveys conducted by the U.S. National Center for Health Statistics to assess the health and nutritional status of the civilian, non‑institutionalized population.","U.S. National Center for Health Statistics (NCHS), CDC","Public health / Nutrition / Epidemiology"
pub.1134787441,"Food Insecurity and Obesity in US Adolescents: A Population-Based Analysis",10.1089/chi.2020.0158,"CDC Growth Charts",8,8,"Reference percentile curves for weight, stature, and BMI for U.S. children and adolescents, developed by the Centers for Disease Control and Prevention.","CDC, National Center for Health Statistics","Pediatrics / Growth assessment"
pub.1134787441,"Food Insecurity and Obesity in US Adolescents: A Population-Based Analysis",10.1089/chi.2020.0158,"Current Population Survey (CPS)",8,1,"A monthly survey of U.S. households conducted by the Census Bureau and the Bureau of Labor Statistics that collects data on labor force characteristics and other topics, including a food‑security module.","U.S. Census Bureau & Bureau of Labor Statistics","Labor economics / Social statistics"
pub.1134792159,"Food Insecurity and Chronic Diseases among Native Hawaiians and Pacific Islanders in the US: Results of a Population-based Survey",10.1080/19320248.2021.1873883,"2014 Native Hawaiian and Pacific Islander National Health Interview Survey (NHPI-NHIS)",10,10,"A subpopulation of the 2014 National Health Interview Survey that oversampled Native Hawaiian and Pacific Islander adults, providing nationally representative health information for this group.","National Center for Health Statistics (NCHS), CDC","Public health / epidemiology"
pub.1134792159,"Food Insecurity and Chronic Diseases among Native Hawaiians and Pacific Islanders in the US: Results of a Population-based Survey",10.1080/19320248.2021.1873883,"2014 National Health Interview Survey (NHIS)",10,9,"Annual cross‑sectional household interview survey of the civilian, non‑institutionalized U.S. population covering health status, health care access, and health behaviors.","National Center for Health Statistics (NCHS), CDC","Public health / epidemiology"
pub.1134792159,"Food Insecurity and Chronic Diseases among Native Hawaiians and Pacific Islanders in the US: Results of a Population-based Survey",10.1080/19320248.2021.1873883,"National Health and Nutrition Examination Survey (NHANES)",9,2,"Ongoing series of cross‑sectional surveys that combine interviews and physical examinations to assess health and nutritional status of the U.S. population.","National Center for Health Statistics (NCHS), CDC","Public health / nutrition"
pub.1134803661,"Seeding Insights and Nourishing Change: a Case for Participatory Evaluation in Place-Based Community Food Systems",10.1007/s42413-020-00097-0,"Food Access Research Atlas",9,2,"A USDA‑ERS dataset that provides census‑tract level indicators of food access, including income, vehicle access, and distance to supermarkets.","U.S. Department of Agriculture Economic Research Service","Public health / Food security"
pub.1134803661,"Seeding Insights and Nourishing Change: a Case for Participatory Evaluation in Place-Based Community Food Systems",10.1007/s42413-020-00097-0,"Food Environment Atlas",8,2,"A USDA‑AMS dataset that maps food‑environment variables (e.g., grocery store density, fast‑food prevalence) at the county level across the United States.","U.S. Department of Agriculture Agricultural Marketing Service","Public health / Nutrition"
pub.1134803661,"Seeding Insights and Nourishing Change: a Case for Participatory Evaluation in Place-Based Community Food Systems",10.1007/s42413-020-00097-0,"Low‑income and low‑supermarket‑access census tracts (USDA ERS)",7,2,"A subset of USDA ERS data that identifies census tracts with both low income and limited access to supermarkets, often used to define “food deserts.”","U.S. Department of Agriculture Economic Research Service","Public health / Socio‑economic geography"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"Family Life, Activity, Sun, Health, and Eating Study (FLASHE)",9,9,"A nationally representative online survey of US parent‑adolescent dyads collecting information on diet, physical activity, sleep, sun safety, and tobacco use.","National Cancer Institute (NCI) funded study.","Public health / nutrition / sleep epidemiology"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"National Health Interview Survey (NHIS)",8,1,"A cross‑sectional household interview survey conducted by the CDC's National Center for Health Statistics.","","Public health / health surveillance"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"National Health and Nutrition Examination Survey (NHANES)",8,1,"A program of studies designed to assess the health and nutritional status of adults and children in the United States.","","Public health / nutrition"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"National Longitudinal Study of Adolescent Health",7,1,"A longitudinal study (Add Health) following a nationally representative sample of adolescents into adulthood.","","Sociology / public health"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"Welfare, Children, and Families: A Three-City Study",6,1,"A multi‑city longitudinal study examining welfare, child, and family outcomes.","","Social science / public health"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"Early Childhood Longitudinal Study (ECLS)",6,1,"A series of longitudinal studies funded by the U.S. Department of Education tracking child development.","","Education / child development"
pub.1134845477,"Sleep, Food Insecurity, and Weight Status: Findings from the Family Life, Activity, Sun, Health, and Eating Study",10.1089/chi.2020.0259,"Millennium Cohort Study",7,1,"A UK birth cohort study following children from infancy into adulthood.","","Public health / epidemiology"
pub.1134850379,"The impact that cultural food security has on identity and well-being in the second-generation U.S. American minority college students",10.1007/s12571-020-01140-w,"Household Food Security Survey Module (HFSSM) – Six-Item Short Form",9,5,"A six‑item questionnaire derived from the USDA Household Food Security Survey Module used to classify households as high, low, or very low food security.","US Department of Agriculture 2012","Food security / Public health"
pub.1134850379,"The impact that cultural food security has on identity and well-being in the second-generation U.S. American minority college students",10.1007/s12571-020-01140-w,"U.S. Census Bureau 2019 demographic data",9,2,"Population counts and racial/ethnic composition statistics for Las Vegas and Reno derived from the 2019 American Community Survey.","U.S. Census Bureau 2019","Demographics / Population studies"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"Household Food Security Survey Module (HFSSM)",10,9,"A 18‑item USDA questionnaire used to classify households as food secure or insecure.","USDA","Nutrition / Food Security"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"U.S. Census Bureau 2010-based Tract Characteristics",9,4,"Geographic and demographic data from the 2010 U.S. Census at the census‑tract level.","U.S. Census Bureau","Demography / Geography"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"Current Population Survey Food Security Supplement (CPS-FSS)",9,1,"A nationally representative supplement to the CPS that measures household food security.","U.S. Census Bureau / USDA","Nutrition / Food Security"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"National Health and Nutrition Examination Survey (NHANES)",8,1,"A program of studies designed to assess health and nutritional status of adults and children in the United States.","CDC / NCHS","Health / Nutrition"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"Survey of Program Dynamics (SPD)",8,1,"A longitudinal panel survey tracking program participation and related outcomes among U.S. households.","U.S. Department of Health and Human Services","Social Policy / Food Security"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"Early Childhood Longitudinal Study (ECLS) Birth Cohort",8,1,"A longitudinal study following a nationally representative sample of children from birth onward.","U.S. Department of Education","Education / Child Development"
pub.1134856982,"Persistence and transience of food insecurity and predictors among residents of two disadvantaged communities in South Carolina",10.1016/j.appet.2021.105128,"Fragile Families and Wellbeing Study",8,1,"A longitudinal study of families with children born in large U.S. cities, focusing on family wellbeing.","University of Pennsylvania & Columbia University","Sociology / Family Studies"
pub.1134932145,"Predictors of households at risk for food insecurity in the United States during the COVID-19 pandemic",10.1017/s1368980021000355,"Household Pulse Survey",9,2,"A nationally administered rapid survey by the U.S. Census Bureau to assess household experiences during the pandemic, including food security indicators.","U.S. Census Bureau","Public health / Social science"
pub.1134932145,"Predictors of households at risk for food insecurity in the United States during the COVID-19 pandemic",10.1017/s1368980021000355,"COVID Impact Survey",9,2,"A nationally representative survey conducted by NORC to assess impacts of COVID-19, including food security concerns.","NORC at the University of Chicago / Data Foundation","Public health / Social science"
pub.1134932145,"Predictors of households at risk for food insecurity in the United States during the COVID-19 pandemic",10.1017/s1368980021000355,"Health Reform Monitoring Survey",9,2,"A survey by the Urban Institute monitoring health reform impacts, including food security metrics.","Urban Institute","Public health / Policy research"
pub.1134932145,"Predictors of households at risk for food insecurity in the United States during the COVID-19 pandemic",10.1017/s1368980021000355,"PROMIS‑29 (PROPr) Scale Data",9,7,"Patient‑Reported Outcomes Measurement Information System short form assessing mental health, providing t‑scores for anxiety and depression.","PROMIS initiative","Health psychology / Clinical assessment"
