publication_id,publication_title,publication_doi,join_dataset1,join_dataset2,join_join_type,join_confidence_score,join_methodology,join_join_keys,join_context
pub.1092382198,"Household food security and use of community food sources and food assistance programs among food shoppers in neighborhoods of low income and low food access",10.1080/19320248.2017.1364188,"Primary household survey data (in‑person interviews of food shoppers)","U.S. Census Bureau American Community Survey 5‑Year Estimates","integration",8.3,"The researchers performed an integration of the primary household survey data with tract‑level socioeconomic characteristics from the American Community Survey (ACS) by linking each respondent to the census tract in which they resided. The survey collected residential address information, which was ","[""GEOID"",""census_tract_id""]","The researchers linked individual respondent information (demographics, food security status, and food source use) with tract‑level socioeconomic characteristics derived from the ACS (e.g., household income below FPL, female head of household rates, vehicle ownership) to define inclusion boundaries,"
pub.1092382198,"Household food security and use of community food sources and food assistance programs among food shoppers in neighborhoods of low income and low food access",10.1080/19320248.2017.1364188,"Primary household survey data (in‑person interviews of food shoppers)","USDA Food Desert definition criteria (derived from USDA urban/rural classification and food access metrics)","fusion",7,"The researchers first extracted the geographic identifiers (census tract GEOIDs) for each household from the primary survey dataset. USDA food desert criteria were obtained at the census‑tract level using the USDA urban/rural classification and low‑income/low‑food‑access metrics. Both datasets were ","[""census_tract_GEOID""]","The study applied USDA definitions of an urban food desert to the census tracts identified via ACS data, thereby combining survey‑collected household information with USDA geographic classification to determine which tracts met the food desert criteria."
pub.1092669592,"Nutritional and greenhouse gas impacts of removing animals from US agriculture",10.1073/pnas.1707322114,"NASS Census of Agriculture","Agricultural Resource Management Survey (ARMS)","integration",8.2,"The integration combined land‑use and irrigation variables from the NASS Census with farm‑financial, crop‑production and livestock data from ARMS. First both datasets were extracted, cleaned and standardized to a common geographic identifier (state‑county FIPS code) and year. Missing values were imp","[""state_county_fips"",""survey_year""]","The authors combined land‑use and irrigation data from the NASS Census with farm‑financial and crop‑production variables from ARMS to estimate total agricultural output, manure generation, and nutrient flows in the US food system model."
pub.1092669592,"Nutritional and greenhouse gas impacts of removing animals from US agriculture",10.1073/pnas.1707322114,"NASS Census of Agriculture","Local Food Marketing Practices Survey","fusion",7.5,"","","The study linked farm‑level production data from the NASS Census with market‑channel information from the Local Food Marketing Practices Survey to assess how produced commodities move through regional food markets and affect domestic consumption patterns."
pub.1092669592,"Nutritional and greenhouse gas impacts of removing animals from US agriculture",10.1073/pnas.1707322114,"Agricultural Resource Management Survey (ARMS)","Local Food Marketing Practices Survey","combination",7,"The authors combined the Agricultural Resource Management Survey (ARMS) data on crop production and farm finances with the Local Food Marketing Practices Survey that captured consumer access and marketing practices. The integration was performed by aligning records based on common geographic identif","[""state"",""county"",""survey_year""]","Crop‑production and financial data from ARMS were merged with consumer‑access and local marketing practices captured in the Local Food Marketing Practices Survey to evaluate the availability of animal‑derived versus plant‑derived foods for the US population."
pub.1093089922,"Can the introduction of a full-service supermarket in a food desert improve residents' economic status and health?",10.1016/j.annepidem.2017.10.011,"PHRESH study baseline and follow‑up datasets","Multiple imputation generated synthetic dataset","combination",8.5,"The analytic dataset was created by first extracting the baseline and follow‑up records from the PHRESH study using a unique participant identifier. Missing outcome values at either time point were then imputed with multiple imputation (MI) to generate synthetic values that preserve the multivariate","[""participant_id"",""time_point""]","Missing outcome data at baseline or follow‑up were imputed using multiple imputation, creating a combined analytic dataset that includes both observed and imputed values for the full sample of participants."
pub.1093089922,"Can the introduction of a full-service supermarket in a food desert improve residents' economic status and health?",10.1016/j.annepidem.2017.10.011,"PHRESH study survey dataset","U.S. Census Bureau poverty threshold data (2011‑2014)","integration",8.2,"The researchers merged the PHRESH survey records with annual federal poverty thresholds from the Census by first extracting household income and size variables from each respondent and then mapping them to the corresponding year’s poverty line values. A key‑based join was performed using the survey ","[""survey_year"",""household_size""]","The authors classified residents as having income below the federal poverty line by comparing each respondent’s reported household income and size to the year's Census published poverty thresholds."
pub.1093089922,"Can the introduction of a full-service supermarket in a food desert improve residents' economic status and health?",10.1016/j.annepidem.2017.10.011,"PHRESH study survey dataset","USDA Supplemental Nutrition Assistance Program (SNAP) eligibility criteria","integration",7.5,"The researchers combined the PHRESH survey data with USDA SNAP eligibility criteria by first extracting respondent identifiers, household income, and size from the survey. Income and household size were transformed to match the format required by USDA tables (annual income per person and number of m","[""respondent_id"",""year"",""household_size""]","Participation in SNAP was assessed using respondents’ self‑reported SNAP use and also by applying USDA eligibility rules based on income and household size to determine SNAP‑eligible households."
pub.1093089922,"Can the introduction of a full-service supermarket in a food desert improve residents' economic status and health?",10.1016/j.annepidem.2017.10.011,"PHRESH study survey dataset","Adult Food Security Survey Module (USDA 10‑item questionnaire)","fusion",7,"The USDA 10‑item Adult Food Security Survey Module was embedded directly into the PHRESH household questionnaire, so each respondent’s record already contained both the PHRESH survey data and the food security responses. The integration therefore consisted of a straightforward key‑based merge using ","[""household_id"",""survey_date""]","Food security status was measured using the USDA’s 10‑item Adult Food Security Survey Module, which was incorporated into the PHRESH household survey to classify households as high, marginal, low, or very low food security."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","US Office of Management and Budget county classification (urban/rural status)","integration",9,"The researchers assigned an urban or rural classification to each participant household by linking the participant’s reported county of residence to the US Office of Management and Budget (OMB) county classification list. This was performed as a deterministic key‑based merge where the county identif","[""county_identifier"",""participant_id""]","County‑level urban vs rural classification was assigned to each participant’s household based on the county in which they lived, linking individual outcome data with a geographic attribute."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","USDA Food Environment Atlas natural amenity index (2015)","integration",9,"The integration was performed by linking each SNAP‑Ed participant record to the USDA Food Environment Atlas natural amenity index using the county identifier. County names were standardized across both datasets, and a direct key‑based join was executed in an ETL workflow. The joined dataset served a","[""county_name""]","Each participant’s county was matched to the natural amenity rank from the USDA Food Environment Atlas, providing a continuous environmental covariate for analysis."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","HUD Fair Market Rent dataset (FY 2015, two‑bedroom homes)","integration",9,"The integration was performed by linking each SNAP‑Ed participant’s household to the corresponding county-level average fair market rent (FMR) value. A common geographic identifier – the Indiana county name or FIPS code – served as the join key. The researchers first extracted the household data fro","[""county_name"",""county_fips""]","Average fair market rental price per county was linked to each participant’s household to assess housing cost as an environmental factor."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","USDA Food and Nutrition Service SNAP‑authorized store count (2014)","integration",9,"The integration was performed by linking the county‑level SNAP‑authorized store count (2014) to each participant record based on the county identifier. The researchers first extracted the SNAP‑store dataset and the participant dataset, then standardized county names/IDs to a common format (e.g., FIP","[""county_id"",""county_name""]","The number of SNAP‑authorized stores per county was merged with participant data to evaluate the influence of food outlet availability on food security outcomes."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","Indiana Emergency Food Resource Network Database (food pantry count per county, 2016)","integration",9,"The researchers first extracted the household‑level food security data from the randomized SNAP‑Ed intervention study and the county‑level environmental datasets (urban/rural classification, number of SNAP‑authorized stores, number of food pantries, recreational facilities, fair market rent, natural","[""county_id"",""participant_residence_county""]","County‑level counts of food pantries were linked to participant households to test whether pantry availability affects SNAP‑Ed efficacy."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"Household food security data (SNAP‑Ed intervention study participants)","USDA Food Environment Atlas recreational facilities count (NAICS 713940)","integration",9,"The researchers linked the household‑level SNAP‑Ed participant records to county‑level environmental data by matching each participant’s residence county identifier (e.g., county name or FIPS code) with the corresponding county record in the USDA Food Environment Atlas. The integration was performed","[""county_id"",""county_name""]","The number of recreational facilities per county was merged with participant data to explore potential links between physical activity resources and food security."
pub.1093156383,"Exploring the association of urban or rural county status and environmental, nutrition- and lifestyle-related resources with the efficacy of SNAP-Ed (Supplemental Nutrition Assistance Program-Education) to improve food security",10.1017/s1368980017003391,"USDA Food Environment Atlas (natural amenity index, SNAP‑authorized stores, recreational facilities)","HUD Fair Market Rent dataset","fusion",7.5,"County‑level environmental variables from the USDA Food Environment Atlas, HUD Fair Market Rent dataset and other sources were first extracted and cleaned to create a unified county‑level table. Each record was identified by the standard county identifier (FIPS code) which served as the primary key.","[""FIPS_code"",""county_name""]","All county‑level environmental variables were combined into a single analytical dataset before being merged with the participant-level data for regression modelling."
pub.1100480817,"Food access, food security and community gardens in Rockford, IL",10.1080/13549839.2018.1426561,"Food Pantry Survey (survey of RRVP clients)","U.S. Census demographic data (population, poverty, ethnicity statistics for Rockford)","integration",7.2,"The authors first extracted the address information from the food pantry survey responses, which varied in completeness (full street address, intersection, ZIP code or neighborhood description). They performed a geocoding step to convert these textual location data into latitude‑longitude coordinate","[""geocoded_point"",""census_tract_id"",""ZIP_code""]","The authors linked respondents' home addresses (or ZIP‑code/neighbourhood information) from the pantry survey to census tract‑level demographic variables in order to spatially visualise the “food web” and assess how food‑desert areas correspond with client locations."
pub.1100754932,"Chronic disease burden predicts food insecurity among older adults",10.1017/s1368980017004062,"Health and Retirement Study (HRS) – 2012 core survey","Health Care and Nutrition Study (HCNS) – 2013 supplemental survey","integration",9,"The researchers performed a secondary cross‑sectional analysis by linking the 2012 core HRS survey data to the 2013 HCNS supplemental questionnaire. The linkage relied on the unique respondent identifier assigned in the Health and Retirement Study, which is consistent across waves and supplemental m","[""respondent_id""]","The researchers performed a secondary cross‑sectional analysis by linking the nationally representative longitudinal HRS dataset to its 2013 HCNS supplement, which contains food‑security questions. This linkage created a combined analytic sample of respondents who had both health/ sociodemographic d"
pub.1100894993,"Food insecurity is associated with high risk glycemic control and higher health care utilization among youth and young adults with type 1 diabetes",10.1016/j.diabres.2018.01.035,"SEARCH for Diabetes in Youth Study (clinical and survey data)","U.S. Department of Agriculture Household Food Security Survey Module (HFSSM)","integration",8.5,"The researchers merged the SEARCH cohort clinical dataset (containing participant-level measurements such as HbA1c, diabetes duration, insulin regimen) with the USDA Household Food Security Survey Module responses collected from the same participants. A unique participant identifier assigned by the ","[""participant_id""]","The study merged participant-level clinical measurements (HbA1c, diabetes duration, insulin regimen) from the SEARCH cohort with food insecurity responses collected via the USDA HFSSM questionnaire."
pub.1100914891,"Skeletal growth, body composition, and metabolic risk among North Sudanese immigrant children",10.1111/phn.12386,"Participant measurements (height, weight, body composition, metabolic labs)","World Health Organization (WHO) Growth Standards and AnthroPlus software reference data","integration",9,"The integration was performed by matching each participant's anthropometric measurements (height, weight, age and sex) to the corresponding reference values from the WHO Growth Standards using the WHO AnthroPlus software. For each record, the participant’s age and sex were used as lookup keys to ret","[""age"",""sex""]","Height and weight Z‑scores were calculated by plotting participant measurements against WHO growth standard charts using the WHO AnthroPlus tool."
pub.1100914891,"Skeletal growth, body composition, and metabolic risk among North Sudanese immigrant children",10.1111/phn.12386,"Participant DXA bone mineral content (BMC) and areal bone density (aBMD) measurements","Baylor College of Medicine Body Composition Laboratory (CNRC) reference data for children","fusion",8.5,"The researchers merged the participant DXA measurements (BMC and aBMD) with reference values from the Baylor CNRC database by aligning each subject’s age and sex to the corresponding reference cohort. Age (in years) and biological sex were used as primary join keys to retrieve the appropriate mean a","[""age"",""sex""]","Z‑scores for BMC and aBMD were computed using reference values from the Baylor CNRC database."
pub.1100914891,"Skeletal growth, body composition, and metabolic risk among North Sudanese immigrant children",10.1111/phn.12386,"Participant lean mass index (LMI) and fat mass index (FMI) values","2003‑2004 NHANES fat and lean mass data for African‑American children (reference population)","integration",8,"The researchers integrated the participant lean mass index (LMI) and fat mass index (FMI) values with the NHANES 2003‑2004 African‑American children dataset by aligning records on demographic variables that serve as natural join keys. Specifically, each study subject’s age (in years), sex (male/fema","[""age"",""sex"",""race""]","Z‑scores for FMI and LMI were calculated using the NHANES 2003‑2004 dataset as a reference population."
pub.1100914891,"Skeletal growth, body composition, and metabolic risk among North Sudanese immigrant children",10.1111/phn.12386,"Participant responses to two food‑security questions","U.S. Household Food Security Survey Module (Six‑Item Short Form) developed by USDA","combination",7.5,"The researchers combined the participants' responses to two food‑security items with the standardized USDA Six‑Item Short Form questionnaire. Each participant’s data record (including demographic identifiers such as study ID, household ID and interview timestamp) was linked to the corresponding surv","[""participant_id"",""household_id"",""interview_timestamp""]","Food insecurity was assessed using two items from the USDA’s six‑item short form, merging participant answers with the standardized survey instrument."
pub.1100914891,"Skeletal growth, body composition, and metabolic risk among North Sudanese immigrant children",10.1111/phn.12386,"Participant physical activity self‑report (PAQ‑C/PAQ‑A) scores","Physical Activity Questionnaire for Adolescents and Children (validated instrument)","integration",6.5,"The researchers combined participants' self‑reported physical activity data (PAQ‑C/PAQ‑A scores) with the established validated PAQ questionnaire by linking each individual's response record to the corresponding instrument reference. This integration was performed using a key‑based join on participa","[""participant_id"",""study_id"",""timestamp""]","Self‑reported activity levels were derived using a modified version of the validated PAQ‑C/PAQ‑A questionnaire, integrating participant responses with the established tool."
pub.1101123332,"Listening local: Community perceptions of fresh food resources in Greater Little Rock",10.1002/jcop.21941,"Food pantry interview survey data","Key informant interview survey data","fusion",8.2,"The researchers performed a fusion of the two survey datasets by first extracting the raw response records from the food‑pantry interview surveys and the key‑informant online questionnaires. Because no unique participant identifiers were shared across the two sources, the integration relied on align","[""barrier_type"",""intervention_preference"",""community_garden_knowledge""]","Survey responses from food‑pantry participants and key informants were combined to produce a comprehensive view of barriers, preferences, and suggested interventions."
pub.1101123332,"Listening local: Community perceptions of fresh food resources in Greater Little Rock",10.1002/jcop.21941,"Windshield tour observations and GIS location data","Existing community garden map from North Little Rock Fit2Live (2014)","integration",7.5,"The researchers first extracted the pre‑existing Fit2Live community‑garden map (a GIS layer with garden names and coordinates). They then conducted windshield tours to collect field observations, photographing gardens, noting address details, operating hours, contact information, and GPS points. All","[""latitude_longitude"",""garden_name"",""address""]","Researchers used the pre‑existing Fit2Live community‑garden map as a base and supplemented it with field observations collected during windshield tours to verify, update, and expand the asset maps for the target neighborhoods."
pub.1101123332,"Listening local: Community perceptions of fresh food resources in Greater Little Rock",10.1002/jcop.21941,"Survey‑derived demographic and barrier data (from food pantry participants)","USDA Food Access Research Atlas / USDA food desert classification","combination",6.8,"The researchers merged the survey‑derived demographic and barrier data collected from food pantry participants with the USDA Food Access Research Atlas food desert classification by linking each respondent to the geographic unit (census tract or ZIP code) used in the USDA dataset. First, the raw sur","[""census_tract_id"",""zip_code"",""neighborhood_name""]","The study compared the demographic characteristics and reported barriers of respondents with the USDA‑identified status of the neighborhoods as food deserts, to contextualize findings within broader national maps."
pub.1101123332,"Listening local: Community perceptions of fresh food resources in Greater Little Rock",10.1002/jcop.21941,"Online survey responses from local experts (Local Food Marketing Practices Survey)","Asset map created using Google My Map tool","merge",6.5,"The research team first extracted the online expert survey responses (Dataset 1) which contained information on healthy food resources such as name, address, type of resource and contact details. The asset map (Dataset 2) was created in Google My Map and stored each resource with its geographic coor","[""resource_name"",""address"",""latitude_longitude""]","Responses from the online expert survey were used to identify and verify healthy food resources, which were then plotted on a Google My Map asset map for public dissemination."
pub.1101166546,"Interviewer effects in food acquisition surveys",10.1017/s1368980018000137,"FoodAPS (National Household Food Acquisition and Purchase Survey)","SNAP administrative records","integration",9.2,"The researchers linked the household‑level self‑reported SNAP participation captured in the initial FoodAPS interview to USDA SNAP administrative records. A consent flag obtained during the survey allowed matching of respondents to their administrative case files. The join was performed by matching ","[""household_id"",""snap_case_number"",""consent_flag""]","Household‑level self‑reported SNAP status from the initial FoodAPS interview was linked to USDA SNAP administrative files to identify discrepancies between reported and actual participation."
pub.1101166546,"Interviewer effects in food acquisition surveys",10.1017/s1368980018000137,"FoodAPS (National Household Food Acquisition and Purchase Survey)","Census 2010 data","fusion",8.7,"The researchers performed a fusion of household‑level covariates from the 2010 Census with the FoodAPS dataset by linking each FoodAPS household to its corresponding census geographic unit. First, both data sources were extracted and cleaned: missing or inconsistent geographic identifiers (e.g., cen","[""census_tract_id"",""block_group_id"",""zip_code"",""household_address""]","Household‑level covariates derived from the Census 2010 were merged with the FoodAPS dataset to adjust for geographic and socio‑economic characteristics in the multilevel models."
pub.1101522533,"Land access for direct market food farmers in Oregon, USA",10.1016/j.landusepol.2018.01.018,"Local Food Marketing Practices Survey","NASS Census of Agriculture","integration",8.7,"The researchers extracted the 2015 Local Food Marketing Practices Survey data and the 2012 Census of Agriculture data, performed cleaning to remove incomplete records and standardize variable names, then aligned both datasets at the county level using common geographic identifiers (FIPS codes). Afte","[""county_fips"",""state_code""]","The authors use the 2015 Local Food Marketing Practices Survey to report nationwide figures on direct‑market farms and then reference the 2012 Census of Agriculture for regional farm counts, sizes, and sales, merging these sources to characterize the prevalence and economic impact of direct‑market f"
pub.1101522533,"Land access for direct market food farmers in Oregon, USA",10.1016/j.landusepol.2018.01.018,"Survey of direct market farmers","Secondary land use and parcel data (GIS)","fusion",8.3,"The researchers first extracted survey responses from a questionnaire administered to direct‑market farmers and exported them as a CSV file. Parcel and land‑use data were obtained from the Oregon Spatial Data Library in shapefile format. Both datasets were cleaned by removing missing values, standar","[""farm_name"",""owner_email"",""property_address"",""gis_coordinate""]","The study combines primary survey responses from direct‑market farmers with secondary GIS‑based parcel and land‑use datasets to assess land affordability, appropriateness, availability, and security for these farms."
pub.1101829320,"A Summer Nutrition Benefit Pilot Program and Low-income Children’s Food Security",10.1542/peds.2017-1657,"SEBTC Household Survey (spring and summer telephone interviews)","Administrative SNAP/WIC participation records","integration",7.2,"The evaluation linked the SEBTC household survey records to USDA SNAP and WIC administrative enrollment files by matching each surveyed household to its program participation status. A deterministic key‑based join was performed using unique household identifiers supplied by the school food authoriti","[""household_id"",""case_number"",""enrollment_id""]","The analysis reports household‑level variables such as “reported receiving SNAP” and “reported receiving WIC”, which are derived from linking survey respondents to their program enrollment status in the USDA’s SNAP and WIC administrative databases."
pub.1101829320,"A Summer Nutrition Benefit Pilot Program and Low-income Children’s Food Security",10.1542/peds.2017-1657,"SEBTC Summer Survey (pooled 2011‑2013 data)","National Cancer Institute Dietary Questionnaire (used in NHANES)","fusion",6.5,"The SEBTC summer survey responses were merged with the standardized National Cancer Institute (NCI) dietary questionnaire scoring system used in NHANES. Household and child identifiers from the SEBTC dataset served as keys to link each respondent’s answers to the NCI coding scheme. The raw survey it","[""household_id"",""child_id"",""survey_date""]","Nutrition outcomes were estimated using the standardized NCI dietary questionnaire and coding scheme, which was applied to the SEBTC survey responses to compute daily consumption of fruits, vegetables, whole grains, etc."
pub.1101829320,"A Summer Nutrition Benefit Pilot Program and Low-income Children’s Food Security",10.1542/peds.2017-1657,"US Household Food Security Survey Module (18‑item USDA module)","Current Population Survey (CPS) supplemental data","combination",6,"The evaluation combined the USDA 18‑item Household Food Security Survey Module (the annual CPS supplement) with the SEBTC household survey data collected via computer‑assisted telephone interviews. A key‑based merge was performed using the unique CPS household identifier and interview timestamp to a","[""household_id"",""interview_timestamp""]","The food security outcome (VLFS‑C) was measured using the USDA’s 18‑item module, which is noted as an “annual supplement to the Current Population Survey”, indicating that the SEBTC survey incorporated this CPS‑based instrument."
pub.1103524732,"Nitrogen use efficiency and crop production: Patterns of regional variation in the United States, 1987–2012",10.1016/j.scitotenv.2018.04.027,"U.S. Census of Agriculture (crop production, cropland area)","NANI toolbox livestock data (derived from ARMS)","integration",8.7,"The integration was performed by first extracting county‑level manure nitrogen excretion estimates from the NANI toolbox and county‑level crop production and cropland area from the U.S. Census of Agriculture. Both datasets contain a common geographic identifier – the USDA county FIPS code – which se","[""county_fips"",""farm_resource_region_id""]","Manure nitrogen excretion estimates from the NANI toolbox were combined with county‑level crop production and cropland area from the Census of Agriculture to calculate total nitrogen inputs (I) for each region."
pub.1103524732,"Nitrogen use efficiency and crop production: Patterns of regional variation in the United States, 1987–2012",10.1016/j.scitotenv.2018.04.027,"State‑level fertilizer consumption data (AAPFCO/TFI)","County‑level fertilizer expenditure data from the U.S. Census of Agriculture","fusion",8.5,"The integration was performed by first extracting the state‑level annual fertilizer consumption totals from the AAPFCO/TFI datasets. County‑level fertilizer expenditure figures were obtained from the U.S. Census of Agriculture (five‑year intervals). The two datasets share a common geographic hierarc","[""state_id"",""county_fips"",""year""]","State fertilizer totals were disaggregated to counties by assuming proportionality to county‑level fertilizer expenditures reported in the agricultural census, creating county‑level fertilizer use estimates."
pub.1103524732,"Nitrogen use efficiency and crop production: Patterns of regional variation in the United States, 1987–2012",10.1016/j.scitotenv.2018.04.027,"USDA Economic Research Service Farm Resource Regions (FRR) definitions","County‑level data from the U.S. Census of Agriculture","combination",8,"The integration began by extracting county‑level agricultural statistics from the U.S. Census of Agriculture and the list of counties assigned to each USDA Farm Resource Region (FRR) provided by USDA‑ARS. County identifiers (FIPS codes) served as the primary keys for both datasets. After loading the","[""county_fips"",""fr_region_id""]","Counties were aggregated into farm resource regions and further into uniform subregions, using FRR classifications together with county‑level agricultural statistics."
pub.1103524732,"Nitrogen use efficiency and crop production: Patterns of regional variation in the United States, 1987–2012",10.1016/j.scitotenv.2018.04.027,"Atmospheric nitrogen deposition model outputs (CMAQ)","NANI toolbox","merge",7.9,"The atmospheric nitrogen deposition values generated by the CMAQ model were first extracted from the model output files and matched to the spatial units used in the NANI toolbox (county identifiers and Farm Resource Region codes). A preprocessing step aligned the coordinate reference systems and agg","[""county_id"",""farm_resource_region_code"",""year""]","Deposition values from the CMAQ model were incorporated into the NANI toolbox calculations to estimate atmospheric nitrogen inputs for each region."
pub.1103831194,"Food insecurity and depressive symptoms of older adults living alone in South Korea",10.1017/s0144686x18000429,"Korea Welfare Panel Study (KOWEPS) – Wave 6","Korea Welfare Panel Study (KOWEPS) – Wave 7","integration",9,"The researchers merged the Korea Welfare Panel Study (KOWEPS) Wave 6 dataset with the Wave 7 dataset by linking records that represent the same respondents over time. They used the unique panel identifier assigned to each household/individual in KOWEPS as the primary key for both waves, ensuring a o","[""panel_id"",""household_id"",""person_id""]","The study combined food insecurity measures from Wave 6 with depressive symptom scores measured in Wave 7 to establish a temporal order and assess the impact of food insecurity on later depression."
pub.1104044547,"Child age and gender differences in food security in a low-income U.S. inner-city population",10.1016/j.euroecorev.2018.04.005,"Three‑City Study (TCS) survey data","Current Population Survey (CPS) 1999 Food Security Supplement","integration",8.7,"The authors did not perform a direct key‑based join between the two datasets. Instead they used a record‑linkage approach based on demographic attributes to create a comparable subsample from the CPS 1999 Food Security Supplement. They filtered the CPS records to households that had at least one chi","[""household_id"",""city_code"",""income_level"",""child_presence""]","The authors used the CPS 1999 data to construct a reference USDA VLFS indicator and then compared it with the TCS‑derived VLFS definition based on only eight questions, selecting the cutoff that best matched the CPS classification."
pub.1104044547,"Child age and gender differences in food security in a low-income U.S. inner-city population",10.1016/j.euroecorev.2018.04.005,"Three‑City Study (TCS) survey data","USDA Household Food Security Survey Module (HFSSM) 18‑question set","fusion",7.5,"The authors performed a data‑fusion (statistical integration) between the Three‑City Study (TCS) survey and the USDA Household Food Security Survey Module (HFSSM) using a validation exercise on the 1999 Current Population Survey (CPS). They first extracted a CPS subsample that matched the TCS popula","[""city"",""metropolitan_status"",""household_income_category"",""presence_of_children""]","The TCS questionnaire includes a subset of eight USDA food‑security questions; the authors map these to the full USDA 18‑question module to create comparable VLFS measures, effectively fusing the partial TCS data with the standard USDA definition."
pub.1105225625,"Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?",10.1016/j.ssmph.2018.06.006,"Feeding America's Map the Meal Gap (MMG) food insecurity data (2014)","Robert Wood Johnson Foundation County Health Rankings (CHRs) health variables (2014)","integration",9.2,"The authors merged the 2014 Feeding America Map the Meal Gap (MMG) food insecurity percentages with the 2014 Robert Wood Johnson Foundation County Health Rankings (CHRs) health variables at the county level. Both datasets contain a common geographic identifier – the U.S. county Federal Information P","[""county_fips""]","County‑level food insecurity percentages were merged with county‑level health indicators to create spatial maps and to compute four health constructs for each US county."
pub.1105225625,"Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?",10.1016/j.ssmph.2018.06.006,"US Census American Community Survey (ACS) 2011‑2015 socio‑demographic data","Combined food insecurity (MMG) and health constructs (CHRs)","fusion",8.7,"The researchers merged county‑level datasets by aligning each record on the common geographic identifier (FIPS code) representing U.S. counties. The ACS socio‑demographic variables were extracted, cleaned and standardized, then joined to the food insecurity percentages from Feeding America’s Map the","[""FIPS_code""]","Socio‑demographic variables such as race/ethnicity, poverty, unemployment, etc., were added to the county‑level dataset containing food insecurity and health indices for multinomial logistic regression modeling."
pub.1105225625,"Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?",10.1016/j.ssmph.2018.06.006,"USDA Economic Research Service Rural‑Urban Continuum Codes (Beale codes) 2013","Combined county‑level dataset of food insecurity, health constructs, and ACS socio‑demographic variables","merge",7.9,"The researchers merged the USDA Rural‑Urban Continuum Codes (Beale codes) dataset with the combined county‑level food insecurity, health, and ACS variables by performing a key‑based join on the common county identifier (FIPS code). The process began with extracting each source file, standardizing co","[""FIPS_code""]","The Rural‑Urban Continuum Codes were incorporated as an urban/rural indicator in the regression analyses to assess their association with overlapping clusters."
pub.1105225625,"Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?",10.1016/j.ssmph.2018.06.006,"Behavioral Risk Factor Surveillance System (BRFSS) health indicators","Dartmouth Institute (DI) Medicare enrollee health indicators (diabetes, mammography)","combination",7.5,"The two source datasets were merged at the county level using a common geographic identifier (county FIPS code). Each health variable from the BRFSS and Dartmouth Institute was first cleaned, standardized to z‑scores and reverse coded when needed so that higher values indicated worse outcomes. The s","[""county_fips""]","Various health variables sourced from BRFSS and DI were grouped into four constructs (e.g., Food‑related Population Health, Preventive Health Behaviors) by averaging standardized items."
pub.1105225625,"Overlapping geographic clusters of food security and health: Where do social determinants and health outcomes converge in the U.S?",10.1016/j.ssmph.2018.06.006,"National Center for Health Statistics (NCHS) mortality and life‑lost rates","Other health indicators from CHRs/BRFSS/Dartmouth Institute","integration",6.8,"The researchers extracted county‑level data from three sources (NCHS mortality rates, CHRs/BRFSS/Dartmouth health indicators and the Feeding America Meal Gap dataset). Each source provided a variable for every U.S. county identified by its standard Federal Information Processing Standards (FIPS) cod","[""county_fips""]","The NCHS variable ‘years of potential life lost per 100,000’ was incorporated into the “Indicators of Poor Physical Health” construct alongside other health measures."
pub.1105444823,"Food insecurity, comorbidity, and mobility limitations among older U.S. adults: Findings from the Health and Retirement Study and Health Care and Nutrition Study",10.1016/j.ypmed.2018.07.001,"Health and Retirement Study (HRS)","Health Care and Nutrition Study (HCNS)","integration",9.2,"The authors merged the biennial Health and Retirement Study (HRS) core panel data from the 2012 wave with the off‑year Health Care and Nutrition Study (HCNS) supplement collected in 2013. A deterministic, key‑based merge was performed using the unique respondent identifier that is common to both dat","[""person_id""]","The authors combined the biennial HRS panel data (2012 wave) with the off‑year HCNS supplement (2013) to create a single analytic sample of older adults, applying exclusion criteria across both datasets and using HCNS person‑level weights in the regression models."
